id;name;brand;description;ingredients;category;skin_type
1;Hydrating Cleanser;CeraVe;Gentle hydrating cleanser that removes dirt without stripping the skin.;Aqua, Glycerin, Cetearyl Alcohol, Ceramide NP, Ceramide AP, Ceramide EOP, Hyaluronic Acid, Cholesterol, Disodium EDTA;cleanser;"dry;normal;sensitive"
2;Low pH Good Morning Gel Cleanser;COSRX;Mild, slightly acidic gel cleanser suitable for daily use.;Aqua, Cocamidopropyl Betaine, Saccharomyces Ferment, Tea Tree Leaf Oil, Betaine Salicylate;cleanser;"oily;combination"
3;Advanced Snail 96 Mucin Power Essence;COSRX;Lightweight essence that hydrates and repairs damaged skin barrier.;Snail Secretion Filtrate, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate;serum;"dry;normal;combination"
4;UV Aqua Rich Watery Essence SPF50+ PA++++;Biore;Lightweight chemical sunscreen with high UV protection, suitable for daily use.;Aqua, Alcohol, Ethylhexyl Methoxycinnamate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Glycerin;sunscreen;"normal;combination;oily"
5;AHA 7 Whitehead Power Liquid;COSRX;Exfoliating treatment with AHA to remove dead skin cells.;Pyrus Malus (Apple) Fruit Water, Glycolic Acid, Niacinamide, Sodium Hydroxide, Panthenol;exfoliant;"oily;combination;normal"
6;BHA Blackhead Power Liquid;COSRX;Exfoliant that helps unclog pores and reduce blackheads.;Salix Alba (Willow) Bark Water, Betaine Salicylate, Niacinamide, Butylene Glycol;exfoliant;"oily;combination"
7;Cica Repair Cream;Etude House;Soothing cream designed to calm irritated and sensitive skin.;Aqua, Centella Asiatica Extract, Madecassoside, Panthenol, Glycerin;moisturizer;"sensitive;dry;normal"
8;Moisture Gel Cream;Hada Labo;Lightweight gel moisturizer for hydration without heaviness.;Aqua, Glycerin, Hyaluronic Acid, Sodium Hyaluronate, Butylene Glycol;moisturizer;"normal;combination;oily"
9;Green Tea Seed Serum;Innisfree;Hydrating antioxidant serum with green tea extract.;Aqua, Camellia Sinensis Leaf Extract, Glycerin, Propanediol, Betaine;serum;"dry;normal;combination"
10;Purito Centella Unscented Serum;Purito;Calming and barrier-repairing serum for sensitive skin.;Aqua, Centella Asiatica Extract, Niacinamide, Ceramide NP, Peptides;serum;"sensitive;normal;dry"
11;Cicabalm Repairing Lotion;La Roche-Posay;Lightweight calming lotion formulated for irritated or damaged skin.;Aqua, Glycerin, Panthenol, Madecassoside, Dimethicone;moisturizer;"sensitive;dry;normal"
12;Facial Treatment Essence;SK-II;Premium essence enriched with Pitera to improve skin texture and radiance.;Aqua, Galactomyces Ferment Filtrate, Butylene Glycol, Sodium Benzoate;serum;"normal;dry"
13;Vitamin C Suspension 23% + HA Spheres 2%;The Ordinary;High-strength vitamin C formula to brighten and improve uneven tone.;Ascorbic Acid, Squalane, Isodecyl Neopentanoate, Sodium Hyaluronate;serum;"normal;combination;dry"
14;Hyaluronic Acid 2% + B5;The Ordinary;Hydrating serum with multiple forms of hyaluronic acid.;Aqua, Sodium Hyaluronate, Panthenol, Glycerin, Pentylene Glycol;serum;"dry;normal;combination"
15;Niacinamide 10% + Zinc 1%;The Ordinary;Balancing serum for blemish-prone and oily skin.;Aqua, Niacinamide, Zinc PCA, Pentylene Glycol, Dimethyl Isosorbide;serum;"oily;combination;normal"
16;Aloe Soothing Sun Cream SPF50+ Cosrx;COSRX;Moisturizing sunscreen with aloe to calm sensitive skin.;Aqua, Aloe Barbadensis Leaf Extract, Ethylhexyl Methoxycinnamate, Glycerin;sunscreen;"sensitive;normal;dry"
17;Cica Mild Foam Cleanser;Some By Mi;Gentle cleanser with centella asiatica for sensitive skin.;Aqua, Cocamidopropyl Betaine, Centella Asiatica Extract, Glycerin;cleanser;"sensitive;normal"
18;Green Tea Fresh Cleanser;Beauty of Joseon;Foaming cleanser enriched with green tea and herbs.;Aqua, Camellia Sinensis Leaf Water, Glycerin, Lauric Acid;cleanser;"normal;combination;oily"
